day,date,start_time,end_time,session_code,workshop_short_name,talk_title,speaker,speaker_affiliation,location,priority,tc_relevance_reason,url,workshop_tc_importance
Monday,2026-06-01,09:45,10:30,MoTT1,"Riemann and Gauss meet Asimov: 3rd Tutorial on Geometric Methods in Robot Learning, Optimization and Control",Tutorial session: Riemannian latent variable models,Organizers (tutorial),Various,TBA,noteworthy,"Pedagogical session on Riemannian latent variable models — generative ML on manifolds. Useful background for TC members exploring manifold-aware learned policies, but not direct planning/control methodology.",https://sites.google.com/view/icra-2026-tutorial-geometry/,"Geometric methods — Lie groups, Riemannian optimization, manifold-aware learning — underpin the TC's treatment of pose, motion, and control on SE(3) and other matrix Lie groups. This tutorial covers the mathematical foundations that get used across trajectory optimization, geometric control, and structured policy learning. It pairs naturally with Friday's 'Geometry in the Age of Data-Driven Robotics' workshop."
Monday,2026-06-01,11:00,11:45,MoTT1,"Riemann and Gauss meet Asimov: 3rd Tutorial on Geometric Methods in Robot Learning, Optimization and Control",Practical session: Riemannian latent variable models,Organizers (practical),Various,TBA,noteworthy,Hands-on coding portion of the latent-variable tutorial.,https://sites.google.com/view/icra-2026-tutorial-geometry/,"Geometric methods — Lie groups, Riemannian optimization, manifold-aware learning — underpin the TC's treatment of pose, motion, and control on SE(3) and other matrix Lie groups. This tutorial covers the mathematical foundations that get used across trajectory optimization, geometric control, and structured policy learning. It pairs naturally with Friday's 'Geometry in the Age of Data-Driven Robotics' workshop."
Monday,2026-06-01,11:45,12:30,MoTT1,"Riemann and Gauss meet Asimov: 3rd Tutorial on Geometric Methods in Robot Learning, Optimization and Control",Invited talk: TBD,Ross Hatton,Oregon State University,TBA,important,Hatton's work applies geometric mechanics (connections on principal bundles) to locomotion — turning gait design into a geometric optimization problem. Directly TC scope (planning and control of robot motion) via geometric methods.,https://sites.google.com/view/icra-2026-tutorial-geometry/,"Geometric methods — Lie groups, Riemannian optimization, manifold-aware learning — underpin the TC's treatment of pose, motion, and control on SE(3) and other matrix Lie groups. This tutorial covers the mathematical foundations that get used across trajectory optimization, geometric control, and structured policy learning. It pairs naturally with Friday's 'Geometry in the Age of Data-Driven Robotics' workshop."
Monday,2026-06-01,14:00,14:45,MoTT1,"Riemann and Gauss meet Asimov: 3rd Tutorial on Geometric Methods in Robot Learning, Optimization and Control",Tutorial session: Riemannian generative models,Organizers (tutorial),Various,TBA,noteworthy,Pedagogical session on diffusion/flow models on manifolds. Useful as background; not direct planning/control methodology.,https://sites.google.com/view/icra-2026-tutorial-geometry/,"Geometric methods — Lie groups, Riemannian optimization, manifold-aware learning — underpin the TC's treatment of pose, motion, and control on SE(3) and other matrix Lie groups. This tutorial covers the mathematical foundations that get used across trajectory optimization, geometric control, and structured policy learning. It pairs naturally with Friday's 'Geometry in the Age of Data-Driven Robotics' workshop."
Monday,2026-06-01,14:45,15:30,MoTT1,"Riemann and Gauss meet Asimov: 3rd Tutorial on Geometric Methods in Robot Learning, Optimization and Control",Practical session: Riemannian generative models,Organizers (practical),Various,TBA,noteworthy,Hands-on coding portion of the generative-models tutorial.,https://sites.google.com/view/icra-2026-tutorial-geometry/,"Geometric methods — Lie groups, Riemannian optimization, manifold-aware learning — underpin the TC's treatment of pose, motion, and control on SE(3) and other matrix Lie groups. This tutorial covers the mathematical foundations that get used across trajectory optimization, geometric control, and structured policy learning. It pairs naturally with Friday's 'Geometry in the Age of Data-Driven Robotics' workshop."
Monday,2026-06-01,16:00,16:45,MoTT1,"Riemann and Gauss meet Asimov: 3rd Tutorial on Geometric Methods in Robot Learning, Optimization and Control",Leveraging geometric symmetry in robotic policy learning,Dian Wang,Stanford University,TBA,noteworthy,"Equivariant neural networks for manipulation policies — uses symmetries of physical tasks (rotation, translation) to make learned policies dramatically more sample-efficient. TC-adjacent: the output is a learned controller, but the framing is robot learning rather than planning/control methodology.",https://sites.google.com/view/icra-2026-tutorial-geometry/,"Geometric methods — Lie groups, Riemannian optimization, manifold-aware learning — underpin the TC's treatment of pose, motion, and control on SE(3) and other matrix Lie groups. This tutorial covers the mathematical foundations that get used across trajectory optimization, geometric control, and structured policy learning. It pairs naturally with Friday's 'Geometry in the Age of Data-Driven Robotics' workshop."
Monday,2026-06-01,16:45,17:15,MoTT1,"Riemann and Gauss meet Asimov: 3rd Tutorial on Geometric Methods in Robot Learning, Optimization and Control","Geometric Algebra, Riemannian Geometry, and Quantum Computing for Robotics Modeling, Learning and Control",Eduardo Bayro-Corrochano,CINVESTAV (Mexico),TBA,noteworthy,Geometric-algebra-based unified framework for robotics modeling and control. Niche methodology with broad-topic talk; useful exposure to an alternative mathematical formalism but not a must-attend for TC core practice.,https://sites.google.com/view/icra-2026-tutorial-geometry/,"Geometric methods — Lie groups, Riemannian optimization, manifold-aware learning — underpin the TC's treatment of pose, motion, and control on SE(3) and other matrix Lie groups. This tutorial covers the mathematical foundations that get used across trajectory optimization, geometric control, and structured policy learning. It pairs naturally with Friday's 'Geometry in the Age of Data-Driven Robotics' workshop."
Monday,2026-06-01,09:15,10:15,MoTT1,Workshop on the Path Towards Generalizable Contact-Rich Robotics: Control and Representation,Panel 1: Contact Model Representations,"Nima Fazeli, Marc Toussaint, Yuval Tassa, Yilun Du",Michigan / TU Berlin / DeepMind / Harvard,TBA,noteworthy,"Discussion of how to represent contact (analytical vs learned, rigid vs compliant, differentiable simulators). Useful upstream context for TC algorithms but the panel itself is about representations rather than planning/control methodology.",https://cr2-icra.github.io,"Contact-rich robotics sits at the intersection of control through hybrid dynamics, MPC through contact, and representation learning for manipulation. The workshop covers how planners and controllers reason about the discontinuities that classical smooth-dynamics methods struggle with. Highly relevant to TC members working on manipulation, legged locomotion, and whole-body control."
Monday,2026-06-01,11:00,11:15,MoTT1,Workshop on the Path Towards Generalizable Contact-Rich Robotics: Control and Representation,GPU-Accelerated Hydroelastic Contact via Signed Distance Fields,Lennart Röstel et al.,NVIDIA / others,TBA,noteworthy,"GPU-accelerated hydroelastic contact via SDFs. This is simulation/representation infrastructure that feeds into trajectory optimization, not a planning or control algorithm itself.",https://cr2-icra.github.io,"Contact-rich robotics sits at the intersection of control through hybrid dynamics, MPC through contact, and representation learning for manipulation. The workshop covers how planners and controllers reason about the discontinuities that classical smooth-dynamics methods struggle with. Highly relevant to TC members working on manipulation, legged locomotion, and whole-body control."
Monday,2026-06-01,11:15,11:30,MoTT1,Workshop on the Path Towards Generalizable Contact-Rich Robotics: Control and Representation,Compliant Sphere Lattice Contact: Distributed Contact Modeling for Sphere-Based Robot Representations,"Nataliya Nechyporenko, Ava Abderezaei, Alessandro Roncone",University of Colorado Boulder,TBA,noteworthy,"Compliant contact model for sphere-based robot representations. Like the previous talk this is contact modeling infrastructure, not a planning/control algorithm.",https://cr2-icra.github.io,"Contact-rich robotics sits at the intersection of control through hybrid dynamics, MPC through contact, and representation learning for manipulation. The workshop covers how planners and controllers reason about the discontinuities that classical smooth-dynamics methods struggle with. Highly relevant to TC members working on manipulation, legged locomotion, and whole-body control."
Monday,2026-06-01,13:30,14:30,MoTT1,Workshop on the Path Towards Generalizable Contact-Rich Robotics: Control and Representation,Panel 2: Algorithms for Contact-Rich Control,"Justin Carpentier, Bibit Bianchini, Hae-Won Park, Emo Todorov",Inria / UPenn / KAIST / UW,TBA,spotlight,"Explicitly titled 'Algorithms for Contact-Rich Control' — the most TC-targeted single hour at Monday's workshops. Four researchers whose collective work (Pinocchio, contact-implicit trajopt at UPenn, KAIST whole-body legged control, MuJoCo/iLQR) probably sits inside the toolchain of every TC member doing contact-rich planning or control. Pairing Carpentier and Todorov on the same panel is rare.",https://cr2-icra.github.io,"Contact-rich robotics sits at the intersection of control through hybrid dynamics, MPC through contact, and representation learning for manipulation. The workshop covers how planners and controllers reason about the discontinuities that classical smooth-dynamics methods struggle with. Highly relevant to TC members working on manipulation, legged locomotion, and whole-body control."
Monday,2026-06-01,14:30,14:45,MoTT1,Workshop on the Path Towards Generalizable Contact-Rich Robotics: Control and Representation,Distributionally Robust Control via Stein Variational Inference for Contact-Rich Manipulation,"Hrishikesh Sathyanarayan, Victor Vantilborgh, Harish Ravichandar, Tom Lefebvre, Ian Abraham",Yale / others,TBA,important,Stein variational inference for distributionally robust control under contact uncertainty. Direct TC algorithmic contribution: extends MPC to handle model error in a principled way.,https://cr2-icra.github.io,"Contact-rich robotics sits at the intersection of control through hybrid dynamics, MPC through contact, and representation learning for manipulation. The workshop covers how planners and controllers reason about the discontinuities that classical smooth-dynamics methods struggle with. Highly relevant to TC members working on manipulation, legged locomotion, and whole-body control."
Monday,2026-06-01,14:45,15:00,MoTT1,Workshop on the Path Towards Generalizable Contact-Rich Robotics: Control and Representation,Don't Break the Egg: Branch-Rejoining Trajectory Optimization under Contact Timing Uncertainties,"Zhuocheng Zhang, Haizhou Zhao, Xudong Sun, Aaron M. Johnson, Majid Khadiv",CMU / TUM,TBA,important,"Direct attack on a core open problem in contact-implicit trajectory optimization: contact timing is inherently uncertain, so this work proposes a branch-rejoining trajopt that explicitly handles that uncertainty. TC algorithmic contribution.",https://cr2-icra.github.io,"Contact-rich robotics sits at the intersection of control through hybrid dynamics, MPC through contact, and representation learning for manipulation. The workshop covers how planners and controllers reason about the discontinuities that classical smooth-dynamics methods struggle with. Highly relevant to TC members working on manipulation, legged locomotion, and whole-body control."
Monday,2026-06-01,15:00,15:15,MoTT1,Workshop on the Path Towards Generalizable Contact-Rich Robotics: Control and Representation,On Surprising Effects of Risk-Aware Domain Randomization for Contact-Rich Sampling-based Predictive Control,"Sergio Esteban, Junheng Li, Vince Kurtz, Aaron Ames",Caltech,TBA,important,Risk-aware domain randomization for sampling-based MPC under contact uncertainty. Combines MPPI-style stochastic control with robustness machinery — a planning/control algorithm contribution.,https://cr2-icra.github.io,"Contact-rich robotics sits at the intersection of control through hybrid dynamics, MPC through contact, and representation learning for manipulation. The workshop covers how planners and controllers reason about the discontinuities that classical smooth-dynamics methods struggle with. Highly relevant to TC members working on manipulation, legged locomotion, and whole-body control."
Monday,2026-06-01,15:15,15:30,MoTT1,Workshop on the Path Towards Generalizable Contact-Rich Robotics: Control and Representation,Components of Contact: An Analysis of Contact-Implicit Control Strategies on Manipulation Primitives,"Grey Sarmiento, Michael Posa",University of Pennsylvania,TBA,important,Posa's group dissecting which components of contact-implicit MPC actually drive performance on manipulation tasks. Empirical TC methodology paper that informs how to deploy these methods correctly.,https://cr2-icra.github.io,"Contact-rich robotics sits at the intersection of control through hybrid dynamics, MPC through contact, and representation learning for manipulation. The workshop covers how planners and controllers reason about the discontinuities that classical smooth-dynamics methods struggle with. Highly relevant to TC members working on manipulation, legged locomotion, and whole-body control."
Monday,2026-06-01,16:15,17:15,MoTT1,Workshop on the Path Towards Generalizable Contact-Rich Robotics: Control and Representation,Panel 3: State and Future for Contact-Rich Control,"Matt Mason, Aaron Ames, Aaron Johnson, Dmitry Berenson",CMU / Caltech / CMU / Michigan,TBA,spotlight,"Closing panel by senior figures of contact-rich manipulation and legged locomotion. Mason wrote the textbook on mechanics of manipulation (literally — Mechanics of Robotic Manipulation, MIT Press) and rarely panels anymore; Ames invented control barrier functions for safe locomotion; Johnson works on legged contact dynamics; Berenson on planning under contact uncertainty. Senior-figure reflection on where contact-rich planning/control is going.",https://cr2-icra.github.io,"Contact-rich robotics sits at the intersection of control through hybrid dynamics, MPC through contact, and representation learning for manipulation. The workshop covers how planners and controllers reason about the discontinuities that classical smooth-dynamics methods struggle with. Highly relevant to TC members working on manipulation, legged locomotion, and whole-body control."
Monday,2026-06-01,16:30,17:00,MoTT1,1st Workshop on Generalization in Autonomous Driving: Paradigms Practice and Public Road Demonstrations,Distinguished Talk 4,Marco Pavone,Stanford University / NVIDIA,TBA,important,"Pavone's Stanford ASL is one of the few AV research groups publishing deeply on decision-making, motion planning, and safe control in the classical TC tradition. Recent work spans GCS-based AV planning, reachability-based safety, and contingency planning. In a workshop otherwise dominated by end-to-end learned-driving talks, his is the planning/control voice.",https://tum-avs.github.io/ICRA2026_Workshop/,"Autonomous driving is a major application domain for TC research — motion planning, MPC, prediction-aware control, and decision-making under uncertainty all show up in AV stacks. This workshop's emphasis is on generalization and on-road deployment rather than algorithm design, so the TC connection is at the systems and evaluation level rather than the methods level."
Monday,2026-06-01,18:00,20:00,MoWT2,Welcome Reception,Welcome Reception,N/A,N/A,"VIECON Hall A, B, C",noteworthy,"Official ICRA 2026 welcome reception with drinks and finger food across Halls A, B, C. First preview of the industry exhibition in Hall B before its Tuesday opening. Included in all ticket types except day tickets — the main first-day networking event most TC members will attend.",https://2026.ieee-icra.org/attend/social-events/,The conference's opening social event. Not a technical session; included here for schedule completeness.
Monday,2026-06-01,20:15,22:15,MoTC1,TC Social,TC Member Social — Baschly,N/A,N/A,"Baschly, D4 (Welthandelspl. 1, 1020 Wien)",spotlight,"Informal social for TC members right after the welcome reception, at Baschly — a bar/venue directly behind the congress center. Sign up via the link to help with headcount.",https://forms.gle/fBTvyQEwNC6s4r3Z9,TC-organised social event. Not a technical session.
