day,session,session_type,hall,paper_id,time_slot,title,authors,affiliations,icra_keywords,matched_tc_keywords,matched_abstract_phrases,abstract
Tuesday,TuBT2,Regular Session,Hall A3,TuBT2.2,16:55-17:05,Integrated Planning and Control on Manifolds: Factor Graph Representation and Toolkit,"Yang, Peiwen; Wen, Weisong; Yang, Runqiu; Zhang, Yuanyuan; Hu, Jiahao; Chen, Yingming; Xiao, Naigui; Zhao, Jiaqi",The Hong Kong Polytechnic University (PolyU); Hong Kong Polytechnic University; The Hong Kong Polytechnic University; The Hong Kong Polytechnic University; The Hong Kong Polytechnic University; The Hong Kong Polytechnic University; The Hong Kong Polytechnic University; The Hong Kong Polytechnic University,Aerial Systems: Mechanics and Control; Motion Control; Collision Avoidance,Motion Control; Collision Avoidance,,"Model predictive control (MPC) faces significant limitations when applied to systems evolving on nonlinear manifolds, such as robotic attitude dynamics and constrained motion planning, where traditional Euclidean formulations struggle with singularities, over-parameterization, and poor convergence. To overcome these challenges, this paper introduces FactorMPC, a factor-graph based MPC toolkit that unifies system dynamics, constraints, and objectives into a modular, user-friendly, and efficient optimization structure. Our approach natively supports manifold-valued states with Gaussian uncertainties modeled in tangent spaces. By exploiting the sparsity and probabilistic structure of factor graphs, the toolkit achieves real-time performance even for high-dimensional systems with complex constraints. The design of velocity-extended on-manifold control barrier function (CBF)-based obstacle avoidance factors are derived for safety-critical applications. By bridging graphical models with safety-critical MPC, our work offers a scalable and geometrically consistent framework for integrated planning and control. The simulations and experimental results on quadrotor platform demonstrate superior trajectory tracking and obstacle avoidance performance compared to baseline methods. To foster research reproducibility, we have provided open-source implementation offering plug-and-play factors."
Tuesday,TuBT2,Regular Session,Hall A3,TuBT2.3,17:05-17:15,Beyond Collision Cones: Dynamic Obstacle Avoidance for Nonholonomic Robots Via Dynamic Parabolic Control Barrier Functions,"Park, Hun Kuk; Kim, Taekyung; Panagou, Dimitra","University of Michigan; University of Michigan; University of Michigan, Ann Arbor",Constrained Motion Planning; Nonholonomic Motion Planning; Collision Avoidance,Constrained Motion Planning; Nonholonomic Motion Planning; Collision Avoidance,,"Control Barrier Functions (CBFs) are a powerful tool for ensuring the safety of autonomous systems, yet applying them to nonholonomic robots in cluttered, dynamic environments remains an open challenge. State-of-the-art methods often rely on collision-cone or velocity-obstacle constraints which, by only considering the angle of the relative velocity, are inherently conservative and can render the CBF-based quadratic program infeasible, particularly in dense scenarios. To address this issue, we propose a Dynamic Parabolic Control Barrier Function (DPCBF) that defines the safe set using a parabolic boundary. The parabola's vertex and curvature dynamically adapt based on both the distance to an obstacle and the magnitude of the relative velocity, creating a less restrictive safety constraint. We prove that the proposed DPCBF is valid for a kinematic bicycle model subject to input constraints. Extensive comparative simulations demonstrate that our DPCBF-based controller significantly enhances navigation success rates and QP feasibility compared to baseline methods. Our approach successfully navigates through dense environments with up to 100 dynamic obstacles, scenarios where collision cone-based methods fail due to infeasibility."
Tuesday,TuBT2,Regular Session,Hall A3,TuBT2.4,17:15-17:25,Nonlinear Predictive Control of the Continuum and Hybrid Dynamics of a Suspended Deformable Cable for Aerial Pick and Place,"Rapuano, Antonio; Shen, Yaolei; Califano, Federico; Gabellieri, Chiara; Franchi, Antonio",Sapienza University of Rome; University of Twente; University of Twente; University of Twente; University of Twente / Sapienza University of Rome,Aerial Systems: Mechanics and Control; Motion Control; Mobile Manipulation,Motion Control,,"This paper presents a framework for aerial manipulation of an extensible cable that combines a high-fidelity model based on partial differential equations (PDEs) with a reduced-order representation suitable for real-time control. The PDEs are discretized using a finite-difference method, and proper orthogonal decomposition is employed to extract a reduced-order model (ROM) that retains the dominant deformation modes while significantly reducing computational complexity. Based on this ROM, a nonlinear model predictive control scheme is formulated, capable of stabilizing cable oscillations and handling hybrid transitions such as payload attachment and detachment. Simulation results confirm the stability, efficiency, and robustness of the ROM, as well as the effectiveness of the controller in regulating cable dynamics under a range of operating conditions. Additional simulations illustrate the application of the ROM for trajectory planning in constrained environments, demonstrating the versatility of the proposed approach. Overall, the framework enables real-time, dynamics-aware control of unmanned aerial vehicles (UAVs) carrying suspended flexible cables."
Tuesday,TuBT2,Regular Session,Hall A3,TuBT2.5,17:25-17:35,LPV-MPC for Lateral Control in Full-Scale Autonomous Racing,"Jardali, Hassan; Mohamed, Ihab S.; Pushp, Durgakant; Liu, Lantao",Indiana University; Indiana University Bloomington; Indiana University Bloomington; Indiana University,Field Robots; Control Architectures and Programming; Autonomous Vehicle Navigation,,model predictive control,"Autonomous racing has attracted significant attention recently, presenting challenges in selecting an optimal controller that operates within the onboard system's computational limits and meets operational constraints such as limited track time and high costs. This paper introduces a Linear Parameter-Varying Model Predictive Controller (LPV-MPC) for lateral control. Implemented on an IAC AV-24, the controller achieved stable performance at speeds exceeding 160 mph (71.5 m/s). We detail the controller design, the methodology for extracting model parameters, and key system-level and implementation considerations. Additionally, we report results from our final race run, providing a comprehensive analysis of both vehicle dynamics and controller performance. A Python implementation of the framework is available at: https://tinyurl.com/LPV-MPC-acados."
Tuesday,TuBT2,Regular Session,Hall A3,TuBT2.7,17:45-17:55,Goal-Oriented Control Strategies for Soft Growing Robots,"Huang, Wentao; Li, Pengchun; Zhang, Ziyi; Wang, Zuankai; Zhou, Dekai; Li, Longqiu",Harbin Institute of Technology; Harbin Institute of Technology; Harbin Institute of Technology; The Hong Kong Polytechnic University; Harbin Institute of Technology; Harbin Institute of Technology,"Modeling, Control, and Learning for Soft Robots; Motion and Path Planning; Reinforcement Learning",Motion and Path Planning,,"Soft growing robots, as highly mobile pneumatic membrane robots, are limited in control performance due to their soft structure and nonlinear mechanical properties, especially under dynamic conditions. Therefore, developing reliable control strategies for the robot is essential. This study proposes a dual-thread, goal-oriented control strategy for soft growing robot that combines planning and control. By integrating graph convolutional networks with deep reinforcement learning, the global path planning method is better suited to the self-growing behaviors of soft robots, leading to improvements in both computational efficiency and accuracy compared to inverse kinematics planning methods. Motion control reduces the adverse effects of deformation errors caused by its own low stiffness or by disturbances in the external environment. This strategy effectively combines reinforcement learning-based global planning with a multiple closed-loop motion control system, addressing the issues of low precision and reliability under dynamic conditions. Experimental results demonstrate that the robot achieves a tracking accuracy of 11.83 mm within a 5-meter range and successfully tracks and approaches a non-cooperative dynamic target. These results highlight the significant potential of the proposed approach in applications such as target capture and dynamic manipulation."
Tuesday,TuBT2,Regular Session,Hall A3,TuBT2.8,17:55-18:05,SDPRLayers: Certifiable Backpropagation through Polynomial Optimization Problems in Robotics,"Holmes, Connor; Dümbgen, Frederike; Barfoot, Timothy","University of Toronto; ENS, PSL University; University of Toronto",Optimization and Optimal Control; Localization; Visual Learning; Differentiable Optimization,Optimization and Optimal Control,,"A recent set of techniques in the robotics community, known as certifiably correct methods, frames robotics problems as polynomial optimization problems (POPs) and applies convex, semidefinite programming (SDP) relaxations to either find or certify their global optima. In parallel, differentiable optimization allows optimization problems to be embedded into end-to-end learning frameworks and has received considerable attention in the robotics community. In this paper, we consider the ill effect of convergence to spurious local minima in the context of learning frameworks that use differentiable optimization. We present SDPRLayers, an approach that seeks to address this issue by combining convex relaxations with implicit differentiation techniques to provide certifiably correct solutions and gradients throughout the training process. We provide theoretical results that outline conditions for the correctness of these gradients and provide efficient means for their computation. Our approach is first applied to two simple-but-demonstrative simulated examples, which expose the potential pitfalls of reliance on local optimization in existing, state-of-the-art, differenti"
Tuesday,TuBT2,Regular Session,Hall A3,TuBT2.9,18:05-18:15,Co-Optimizing Reconfigurable Environments and Policies for Decentralized Multi-Agent Navigation,"Gao, Zhan; Yang, Guang; Prorok, Amanda",University of Cambridge; University of Cambridge; University of Cambridge,Multi-Robot Systems; Distributed Robot Systems; Optimization and Optimal Control; Co-Design,Optimization and Optimal Control,,"This work views the multi-agent system and its surrounding environment as a co-evolving system. The goal is to take agent actions and environment configurations as decision variables, and optimize both in a coordinated manner. Towards this end, we consider the problem of decentralized multi-agent navigation in reconfigurable environments. By introducing two sub-objectives of multi-agent navigation and environment optimization, we propose an agent-environment co-optimization problem and develop a coordinated algorithm that alternates between sub-objectives to search for an optimal synthesis of agent actions and obstacle configurations; ultimately, improving navigation performance. Due to the challenge of modeling the relation between agents, environment and performance, we formulate a model-free learning mechanism within the coordinated framework. A formal convergence analysis shows our coordinated algorithm tracks the local minimum trajectory of an associated time-varying non-convex optimization problem. Experiments evaluate the benefits of co-optimization and interestingly, indicate optimized environments offer structural guidance that is key to de-conflicting agents."
Tuesday,TuBT3,Regular Session,Lehar 1-4,TuBT3.3,17:05-17:15,CoorGrasp: Coordinated Contact Control for Adaptive Dexterous Grasping under Uncertainty,"Yu, Mingrui; Jiang, Yongpeng; Jia, Yongyi; Ren, Yi; Li, Xiang",Tsinghua University; Tsinghua University; Tsinghua University; Huawei Technologies; Tsinghua University,Grasping; Multifingered Hands; Dexterous Manipulation,,model predictive control,"While recent research has focused heavily on dexterous grasp pose generation, less attention has been devoted to the execution of planned grasps. Under shape and position uncertainty, open-loop execution often yields uncoordinated contacts, causing undesired in-hand object motion and even grasp failures. To address this, this paper proposes a tactile-driven model predictive controller for adaptive and delicate execution of diverse dexterous grasps. Our approach emphasizes multi-contact coordination across both approaching and grasping phases, with three key novelties: (i) coordination-aware phase separation, (ii) armhand coordination to compensate for position errors, and (iii) adaptive force coordination to increase contact forces in a balanced manner. An analytical model is employed to relate contact forces to robot joint motions for predictive control. Our formulation imposes no restrictions on grasp types or contact configurations and integrates seamlessly with state-of-the-art grasp pose generation methods. We validate the approach through large-scale simulations involving 15k grasps across 400 objects on three robotic hands, and real-world experiments on eight objects. Results demonstrate that our method achieves higher grasp success rates and reduced undesired object movements. Supplementary materials are available at https://ada-grasp-ctrl.github.io/."
Tuesday,TuBT3,Regular Session,Lehar 1-4,TuBT3.4,17:15-17:25,OpenHEART: Opening Heterogeneous Articulated Objects with a Legged Manipulator,"Lim, Seonghyeon; Lee, Hyeonwoo; Lee, Seunghyun; Nahrendra, I Made Aswin; Myung, Hyun",KAIST; KAIST (Korea Advanced Institute of Science and Technology); KAIST (Korea Advanced Institute of Science and Technology); KRAFTON; KAIST (Korea Advanced Institute of Science and Technology),Whole-Body Motion Planning and Control; Legged Robots; Reinforcement Learning,Whole-Body Motion Planning and Control,,"Legged manipulators offer high mobility and versatile manipulation. However, robust interaction with heterogeneous articulated objects, such as doors, drawers, and cabinets, remains challenging because of the diverse articulation types of the objects and the complex dynamics of the legged robot. Existing reinforcement learning (RL)-based approaches often rely on high-dimensional sensory inputs, leading to sample inefficiency. In this paper, we propose a robust and sample-efficient framework for opening heterogeneous articulated objects with a legged manipulator. In particular, we propose Sampling-based Abstracted Feature Extraction (SAFE), which encodes handle and panel geometry into a compact low-dimensional representation, improving cross-domain generalization. Additionally, Articulation Information Estimator (ArtIEst) is introduced to adaptively mix proprioception with exteroception to estimate opening direction and range of motion for each object. The proposed framework was deployed to manipulate various heterogeneous articulated objects in simulation and real-world robot systems. Videos can be found on the project website: https://openheart-icra.github.io/OpenHEART/"
Tuesday,TuBT3,Regular Session,Lehar 1-4,TuBT3.8,17:55-18:05,CLF-RL: Control Lyapunov Function Guided Reinforcement Learning,"Li, Kejun; Olkin, Zachary; Yue, Yisong; Ames, Aaron",California Institute of Technology; California Institute of Technology; California Institute of Technology; Caltech,Humanoid and Bipedal Locomotion; Reinforcement Learning,,motion planning,"Reinforcement learning (RL) has shown promise in generating robust locomotion policies for bipedal robots, but often suffers from tedious reward design and sensitivity to poorly shaped objectives. In this work, we propose a structured reward shaping framework that leverages model-based trajectory generation and control Lyapunov functions (CLFs) to guide policy learning. We explore two model-based planners for generating reference trajectories: a reduced-order linear inverted pendulum (LIP) model for velocity-conditioned motion planning, and a precomputed gait library based on hybrid zero dynamics (HZD) using full-order dynamics. These planners define desired end-effector and joint trajectories, which are used to construct CLF-based rewards that penalize tracking error and encourage rapid convergence. This formulation provides meaningful intermediate rewards, and is straightforward to implement once a reference is available. Both the reference trajectories and CLF shaping are used only during training, resulting in a lightweight policy at deployment. We validate our method both in simulation and through extensive real-world experiments on a Unitree G1 robot. CLF-RL demonstrates significantly improved robustness relative to the baseline RL policy and better performance than a classic tracking reward RL formulation."
Tuesday,TuBT3,Regular Session,Lehar 1-4,TuBT3.9,18:05-18:15,Differentiable Contact Dynamics for Stable Object Placement under Geometric Uncertainties,"Li, Linfeng; Yang, Gang; Shao, Lin; Hsu, David",National University of Singapore; National University of Singapore; National University of Singapore; National University of Singapore,Manipulation Planning; Model Learning for Control; Contact Modeling,Manipulation Planning,,"From stacking a tower of blocks to serving a cup of coffee, stable object placement is a crucial skill for future robots. It becomes particularly challenging under geometric uncertainties, e.g., when the object pose or shape is not known accurately. This work leverages a differentiable simulation model of contact dynamics to tackle this challenge. We derive a novel gradient that relates force-torque sensor readings to geometric uncertainties, thus enabling uncertainty estimation by minimizing discrepancies between sensor data and model predictions via gradient descent. Gradient-based methods are sensitive to initialization. To mitigate this effect, we maintain a belief over multiple estimates and choose the robot action based on the current belief at each time step. In experiments on a Franka robot arm, our method achieved promising results on multiple objects under various geometric uncertainties, including the in-hand pose uncertainty of a grasped object, the object shape uncertainty, and the environment uncertainty."
Tuesday,TuBT4,Regular Session,Strauss 1-2,TuBT4.3,17:05-17:15,CLOT: Multi-Robot Motion Planning Via Collaborative Optimal Transport under Signal Temporal Logic Tasks,"Zhang, Ying; Zhang, Yunyi; Le, An Thai; Guo, Meng",Peking University; Peking University; Vin University; Peking University,Multi-Robot Systems; Formal Methods in Robotics and Automation; Motion and Path Planning,Formal Methods in Robotics and Automation; Motion and Path Planning,,"Multi-robot systems often need to navigate through obstacle-cluttered environments while performing complex tasks. To ensure collision-free trajectories among the robots and with the obstacles is essential for the overall safety, along with additional requirements such as dynamic feasibility, relative formation, connectivity maintenance and temporal tasks. Existing work mostly focuses on the design of analytical controllers that encapsulate all these constraints, which often suffer from undesired local minima due to conflicting non-convex objectives. This work proposes a novel motion planning scheme for multi-robot systems under various safety and high-level tasks, specified as signal temporal logic (STL) formulas over collective states such as collision avoidance, relative formation and connectivity maintenance. A gradient-free method called collaborative optimal transport (CLOT) is proposed that optimizes batches of system-wide smooth trajectories over highly nonlinear costs handled through the zero-order Sinkhorn-Knopp step. Via parallel computation on GPUs, it is shown to significantly improve the scalability from a few robots to over 100 robots, with an average planning time of few seconds. Lastly, its applicability is extensively demonstrated both in simulation and hardware, over complex environments and high-level temporal tasks."
Tuesday,TuBT4,Regular Session,Strauss 1-2,TuBT4.4,17:15-17:25,Distributed First-Order and Second-Order Adaptive Hybrid Optimization for Multi-Robot Learning,"Zhang, Yilun; Xie, Xianghua; Zhang, Lu",Swansea University; Swansea University; Loughborough University London,Optimization and Optimal Control; Multi-Robot Systems; Deep Learning Methods,Optimization and Optimal Control,,"We present a distributed first-order and second-order adaptive hybrid optimization algorithm (DAHO) for multi-robot systems. A team of robots collaboratively trains a shared deep neural network using only local data while exchanging model updates via peer-to-peer robot communication. Raw data never leaves the device, which preserves privacy and conserves communication bandwidth. The method blends a second-order Limited-memory BroydenFletcherGoldfarbShann (LBFGS) method with an alternating direction method of multipliers (ADMM) based first-order method to obtain both the fast convergence of second-order methods and the robustness of first-order schemes. An automatic switching policy, guided by a convergence analysis rooted in trust region theory, selects the update type at each round. A soft switch mechanism derived from the same analysis mitigates oscillations during mode changes. Compared with four single-method baselines that range from first-order to second-order optimization, the proposed hybrid approach achieves faster convergence, superior accuracy, and near centralized performance on robotics related deep learning tasks."
